document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,034206fcc66316a4667f433af5410530__ce643f1d2f212486b834d2021b05e4d31107de407ec1dbc372c5f334ae831dc1,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,renewable energy,13,29,(a) Tripling renewable energy capacity globally and doubling the global average annual rate of energy efficiency improvements by 2030;,1.0,explorer,
UNFCCC.non-party.1881.0,a44bd3b105171bbbc9269bd556e33717__a5c8d04dab848acd3f269d1c6613ac6e7f33625bb8f36be80d31ed66f076b62a,RENEWABLE_ENERGY_(GENERAL),RENEWABLES,renewables,77,87,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",1.0,explorer,
UNFCCC.non-party.1881.0,3a3f3e0c890f0e596ef9e6f05fc1b288__14cc212d1bce37463b260946b15de6a226e0d8daf2cda054fe2d1ea3bcd65d19,WIND_ENERGY,WIND_ENERGY,wind power,194,204,"Welcomes that over the past decade mitigation technologies have become increasingly available, and that the unit costs of several low-emission technologies have fallen continuously, notably wind power and solar power and storage, thanks to technological",1.0,explorer,
UNFCCC.non-party.1881.0,3a3f3e0c890f0e596ef9e6f05fc1b288__14cc212d1bce37463b260946b15de6a226e0d8daf2cda054fe2d1ea3bcd65d19,SOLAR_ENERGY,SOLAR_ENERGY,solar,209,214,"Welcomes that over the past decade mitigation technologies have become increasingly available, and that the unit costs of several low-emission technologies have fallen continuously, notably wind power and solar power and storage, thanks to technological",1.0,explorer,
UNFCCC.non-party.1881.0,6bfa4f2bb8f8b01df625c9d9d935d606__b8602dabdd19c339b69d88986b50faa3b3a340947f22ffbd851d4dbbf35fd0e3,RENEWABLE_ENERGY_(GENERAL),CLEAN_ENERGY,clean energy,24,36,"needs to be invested in clean energy up until 2030, increasing thereafter to USD 5 trillion per year up until 2050, to be able to reach net zero emissions by 2050;6",1.0,explorer,
UNFCCC.non-party.1881.0,2bf23d59fe15209d521a3b9605df8892__65587cee2bb607124b95aa7997c6ec8f8042ccd2de54828d5d2983e347cc6a6e,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,236,252,Available at http://www.unep.org/resources/adaptation-gap-report-2023; International Renewable Energy Agency.,1.0,explorer,
UNFCCC.non-party.1881.0,2bf23d59fe15209d521a3b9605df8892__65587cee2bb607124b95aa7997c6ec8f8042ccd2de54828d5d2983e347cc6a6e,RENEWABLE_ENERGY_(GENERAL),RENEWABLE_ENERGY,Renewable Energy,345,361,Abu Dhabi: International Renewable Energy Agency.,1.0,explorer,
