md5sum,document_name,theme,type,author,author_type,date,language,link,pdf_link,validation_status,data_error_type,party,translation,version,status,source,topics
7159d5e03063be2e77138fd2a8499bcf,United States of America. Biennial report (BR). BR 2.,Emission reduction targets,Biennial reports (BR),United States of America,,,English,/documents/198949,https://unfccc.int/sites/default/files/resource/second_biennial_report_methodologies_for_quantified_policies_and_measures.pdf,not validated,,United States of America,,,,UNFCCC Information Portal,Emission reduction targets
072bb9e1cc693272b7e0c787d943dda3,"Biennial in-session workshop on information to be provided by Parties in accordance with Article 9, paragraph 5, of the Paris Agreement. Summary report by the secretariat",Climate finance,Summary reports,UNFCCC. Conference of the Parties serving as the meeting of the Parties to the Paris Agreement (CMA),,2021-09-10T12:00:00Z,English,/documents/306727,https://unfccc.int/sites/default/files/resource/cma2021_05E.pdf,not validated,,,,,,UNFCCC Information Portal,Climate finance
8d5d20f1335ff37244999ccb18825b6e,Gambia. National communication (NC). NC 3.,"Policies and measures, National communications (NC), Mitigation",National communications (NC),Gambia,,2020-07-27T12:00:00Z,English,/documents/231735,https://unfccc.int/sites/default/files/resource/The%20Gambia%20Third%20National%20Communication.pdf,not validated,,Gambia,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Mitigation"
e47e24113c01ba45987a1ba69894dad7,Technical analysis of the third biennial update report of Viet Nam submitted on 16 April 2021. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Mitigation, Means of implementation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2022-08-22T12:00:00Z,English only,/documents/611238,https://unfccc.int/sites/default/files/resource/tast2021_VNM.pdf,not validated,,Viet Nam,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Mitigation,Means of implementation"
747314abd32a96da1c1bcc51ec0b1088,Technical analysis of the first biennial update report of Benin submitted on 24 October 2019. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Means of implementation, Mitigation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2020-11-12T12:00:00Z,English only,/documents/266341,https://unfccc.int/sites/default/files/resource/tasr2020_BEN.pdf,not validated,,Benin,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Means of implementation,Mitigation"
07aebd0ab7ce71a6b1e574a94ec73256,Nationally determined contributions under the Paris Agreement. Revised note by the secretariat,Nationally determined contributions (NDCs),Pre-session documents,UNFCCC. Secretariat,,2021-10-25T12:00:00Z,English,/documents/307628,https://unfccc.int/sites/default/files/resource/cma2021_08r01_E.pdf,not validated,,,,,,UNFCCC Information Portal,Nationally determined contributions NDCs
80b91fcf49b0e144cdd9b9223311d9b3,Poland. Biennial Reports (BR). BR 3. National Communication (NC). NC 7.,"Policies and measures, National communications (NC), Biennial reports (BR), Adaptation, Mitigation","National communications (NC), Biennial reports (BR)",Poland,,2017-12-29T12:00:00Z,English,/documents/198284,https://unfccc.int/sites/default/files/resource/8193245_Poland-BR3-NC7-1-NC7-BR3%20Poland.pdf,not validated,,Poland,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Adaptation,Mitigation"
cb1988f390f812266e814569c93fd13c,Japan. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Japan. 2021 National Inventory Report (NIR),,2021-04-13T12:00:00Z,English,/documents/271503,https://unfccc.int/sites/default/files/resource/jpn-2021-nir-13apr21.zip,not validated,,Japan,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
25432c497696581c22fb9bc92ad9f258,Identifying and accounting for ocean specific topics in the Global Stocktake,"Global stocktake, Adaptation, Mitigation, Climate finance, Science and research",Submissions to the Global Stocktake,"Ocean and Climate Platform, International Union for Conservation of Nature (IUCN), Conservation International (CI), World Wide Fund for Nature (WWF), Plymouth Marine Laboratory (PML), Nature Conservancy (TNC)",,2022-04-01T12:00:00Z,English,/documents/461577,https://unfccc.int/sites/default/files/resource/202202281809---GST%20ocean%20submission_final.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Adaptation,Mitigation,Climate finance,Science and research"
de54d0982baf07439b4a6bff0a495cd8,Philippines. National Communication (NC). NC 2.,"National communications (NC), Mitigation",National communications (NC),Philippines,,,English,/documents/139241,https://unfccc.int/sites/default/files/resource/phlnc2.pdf,not validated,,Philippines,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
2c566b88451fe83d7f47e8bd9e653b64,Kenya. National Communication (NC). NC 2.,"National communications (NC), Mitigation",Kenya. National Communication (NC). NC 2.,Kenya,,,English,/documents/109628,https://unfccc.int/sites/default/files/resource/Kenya%20SNC_Executive%20Summary.pdf,not validated,,Kenya,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
9b056ddd0c0d98d0b954ad6dd8179904,Technical analysis of the second biennial update report of Thailand submitted on 29 December 2017. Summary report by the team of technical experts.,"GHG inventories, Emission reduction targets, Means of implementation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2018-11-01T12:00:00Z,English only,/documents/183719,https://unfccc.int/sites/default/files/resource/tasr2018_THA.pdf,not validated,,Thailand,,,,UNFCCC Information Portal,"GHG inventories,Emission reduction targets,Means of implementation"
36767834c8072f808759796cf14d602a,CATF Submission to the First Global Stocktake,"Equity, Global stocktake, Capacity-building, Climate finance, Loss and damage, Adaptation, Response measures, Mitigation, Means of implementation, Science and research, Technology",Submissions to the Global Stocktake,Clean Air Taskforce (CATF),,2022-08-15T12:00:00Z,English,/documents/600197,https://unfccc.int/sites/default/files/resource/202208101417---CATF%20GST%20Submission%20August%202022.pdf,not validated,,,,,,UNFCCC Information Portal,"Equity,Global stocktake,Capacitybuilding,Climate finance,Loss and damage,Adaptation,Response measures,Mitigation,Means of implementation,Science and research,Technology"
87ad5b4059d5db28ae82b0f5564a66d2,Japan. National Communication (NC). NC 7.,"National communications (NC), Adaptation, Mitigation",National communications (NC),Japan,,2019-02-27T12:00:00Z,English,/documents/193414,https://unfccc.int/sites/default/files/resource/4092715_Japan-NC7-2-NC7-JPN-E.pdf,not validated,,Japan,,,,UNFCCC Information Portal,"National communications NC,Adaptation,Mitigation"
ebdf1d5fbafeb26714a15f8d3af737cb,Afghanistan. Biennial update report (BUR). BUR 1. National inventory report.,"Biennial update reports (BUR), Mitigation",National inventory reports (NIR),Afghanistan,,2020-03-01T12:00:00Z,English,/documents/210251,https://unfccc.int/sites/default/files/resource/6317285_Afghanistan-BUR1-1-NIR-AFG-Final_TK_MN_TK_20200228.pdf,not validated,,Afghanistan,,,,UNFCCC Information Portal,"Biennial update reports BUR,Mitigation"
f99b219efbbd96cb5dd12393bd66c502,Facilitative sharing of view record 2 - The Republic of North Macedonia,"Biennial update reports (BUR), Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2019-08-08T12:00:00Z,English,/documents/199272,https://unfccc.int/sites/default/files/resource/FSVR2_MKD.pdf,not validated,,,,,,UNFCCC Information Portal,"Biennial update reports BUR,Means of implementation,Mitigation"
305158aaddd74fbad27d32e0e13fc364,Canada's Mid-Century Long-Term Strategy,"Ambition and collective progress, Mitigation, Adaptation",Long-term low greenhouse gas emission development strategies (LT-LEDS),Canada,,2016-11-17T12:00:00Z,French,/documents/181391,https://unfccc.int/sites/default/files/resource/Strat%C3%A9gie%20canadienne%20pour%20le%20milieu%20du%20si%C3%A8cle.pdf,not validated,,Canada,,,,UNFCCC Information Portal,"Ambition and collective progress,Mitigation,Adaptation"
d75b46230ca53e5c4f5cb5370317029f,Nationally determined contributions under the Paris Agreement. Synthesis report by the secretariat. Addendum. Additional information on domestic mitigation measures,"Nationally determined contributions (NDCs), Ambition and collective progress, Adaptation, Mitigation",Synthesis reports,UNFCCC. Conference of the Parties serving as the meeting of the Parties to the Paris Agreement (CMA),,2021-02-26T12:00:00Z,English only,/documents/268573,https://unfccc.int/sites/default/files/resource/cma2021_02a02.pdf,not validated,,,,,,UNFCCC Information Portal,"Nationally determined contributions NDCs,Ambition and collective progress,Adaptation,Mitigation"
d927f13aa4295531058b9305af30aa8a,Kiribati. National Communication (NC). NC 2.,Kiribati. National Communication (NC). NC 2.,National communications (NC),Kiribati,,,English,/documents/109651,https://unfccc.int/sites/default/files/resource/kirnc2.pdf,not validated,,Kiribati,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
af26f3799ac5c3fc4340932da0b47f15,European Union. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),European Union. 2021 National Inventory Report (NIR),,2021-05-27T12:00:00Z,English,/documents/275968,https://unfccc.int/sites/default/files/resource/euc-2021-nir-27may21.zip,not validated,,European Union,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
e3fcb02b61f11513773b7db24f88a2f6,European Roundtable on Climate Change and Sustainable Transition Submission on the call for inputs to the Global Stocktake,"Global stocktake, Response measures, Capacity-building",Submissions to the Global Stocktake,European Roundtable on Climate Change and Sustainable Transition (ERCST),,2022-04-13T12:00:00Z,English,/documents/461834,https://unfccc.int/sites/default/files/resource/202202171807---20220110%20ERCST%20GST%20Submission%20with%20report%20attached.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Response measures,Capacitybuilding"
34c3e681e4638a71aa7f44863461f66a,Myanmar. National Communication (NC). NC 1.,"National communications (NC), Mitigation",National communications (NC),Myanmar. National Communication (NC). NC 1.,,,English,/documents/128111,https://unfccc.int/sites/default/files/resource/mmrnc1.pdf,not validated,,Myanmar,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
b5888d9b280a940d2366a1e5d1c60ce2,Technical analysis of the second biennial update report of Ghana submitted on 19 February 2019. Summary report by the team of technical experts,Technical analysis of the second biennial update report of Ghana submitted on 19 February 2019. Summary report by the team of technical experts,Technical analysis summary report (TASR),UNFCCC. Secretariat,,2019-09-04T12:00:00Z,English,/documents/199846,https://unfccc.int/sites/default/files/resource/tasr2019_GHA.pdf,not validated,,Ghana,,,,UNFCCC Information Portal,"GHG inventories,Emission reduction targets,Means of implementation"
5fd5c93a723324ebfdb5d02593fabe43,Guinea-Bissau. National Communication (NC). NC 3.,Guinea-Bissau. National Communication (NC). NC 3.,National communications (NC),Guinea-Bissau,,2018-03-09T12:00:00Z,English,/documents/64689,https://unfccc.int/sites/default/files/resource/TCN_Guinea_Bissau.pdf,not validated,,GuineaBissau,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
f1ff96560805aa47175292ddc57d1de2,France. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),France,,2021-04-13T12:00:00Z,French,/documents/271535,https://unfccc.int/sites/default/files/resource/frk-2021-nir-13apr21.zip,not validated,,France,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
a47b3a6438de0e697d4ef696625941e1,Submission by the United Nations Office for the Coordination of Humanitarian Affairs to the first global stocktake of the Paris Agreement (GST),"Global stocktake, Adaptation, Climate finance, Loss and damage, Response measures",Submissions to the Global Stocktake,Submission by the United Nations Office for the Coordination of Humanitarian Affairs to the first global stocktake of the Paris Agreement (GST),,2022-10-04T12:00:00Z,English,/documents/616482,https://unfccc.int/sites/default/files/resource/202209291013---OCHA-UNFCCC%20GST%20Submission%20.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Adaptation,Climate finance,Loss and damage,Response measures"
5de6ddb90381d715e14ea97446656169,Facilitative sharing of views record - BUR2 Indonesia,"Transparency framework, Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2021-04-09T12:00:00Z,English,/documents/271429,https://unfccc.int/sites/default/files/resource/FSVR2_IDN.pdf,not validated,,,,,,UNFCCC Information Portal,"Transparency framework,Means of implementation,Mitigation"
cd817c2eb100fb6fc076067f1178a6f8,Ukraine 2050 - Low Emission Development Strategy,"Ambition and collective progress, Mitigation",Long-term low greenhouse gas emission development strategies (LT-LEDS),Ukraine,,2018-07-30T12:00:00Z,English,/documents/181275,https://unfccc.int/sites/default/files/resource/Ukraine_LEDS_en.pdf,not validated,,Ukraine,,,,UNFCCC Information Portal,"Ambition and collective progress,Mitigation"
20333740d44f9c9060e4b0671e7fdf1c,Saint Kitts and Nevis. National Communication (NC). NC 2.,Saint Kitts and Nevis. National Communication (NC). NC 2.,National communications (NC),Saint Kitts and Nevis,,,English,/documents/64787,https://unfccc.int/sites/default/files/resource/Knanc2.pdf,not validated,,Saint Kitts and Nevis,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
1e5e2006371790c360d1ef2b771c1bbe,State of Palestine. National Communication (NC). NC 1.,"National communications (NC), Mitigation",National communications (NC),State of Palestine,,2016-11-11T12:00:00Z,Arabic,/documents/81488,https://unfccc.int/sites/default/files/resource/INCR_Excecutive%20Summary_Arabic_%20State%20of%20Palestine.pdf,not validated,,State of Palestine,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
477cb9cbdca2f4fe1559e2c81cfbaa22,Constituted Body GST synthesis report: Synthesis report of the Standing Committee on Finance on the information identified in decision 19/CMA.1,Constituted Body GST synthesis report: Synthesis report of the Standing Committee on Finance on the information identified in decision 19/CMA.1,Global Stocktake synthesis reports,UNFCCC. Standing Committee on Finance (SCF),,2022-04-21T12:00:00Z,English,/documents/462119,https://unfccc.int/sites/default/files/resource/SCF%20input%20to%20GST.docx,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Climate finance,Means of implementation"
8ff9d75aa09ec4118d1d7079c6597a82,Comoros. National Communication (NC). NC 2.,"National communications (NC), Mitigation",National communications (NC),Comoros,,,French,/documents/75460,https://unfccc.int/sites/default/files/resource/comnc2_0.pdf,not validated,,Comoros,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
c4dd98fb11273f676e1e2a5fd3178405,Australia. Biennial Report (BR). BR 3. National Communication (NC). NC 7.,"National communications (NC), Biennial reports (BR), Mitigation, Adaptation","National communications (NC), Biennial reports (BR)",Australia. Biennial Report (BR). BR 3. National Communication (NC). NC 7.,,2018-06-15T12:00:00Z,English,/documents/69238,https://unfccc.int/sites/default/files/resource/0512739_Australia-NC7-BR3-3-Aus%20NC7%20BR3.pdf,not validated,,Australia,,,,UNFCCC Information Portal,"National communications NC,Biennial reports BR,Mitigation,Adaptation"
bc120a63737646ed8527334a333aa19e,The scope of finance in the GST Technical Dialogues: A comparison with the Technical Expert Dialogues of the New Collective Quantified Goal,"Global stocktake, Climate finance",Submissions to the Global Stocktake,The scope of finance in the GST Technical Dialogues: A comparison with the Technical Expert Dialogues of the New Collective Quantified Goal,,2022-08-08T12:00:00Z,English,/documents/574211,https://unfccc.int/sites/default/files/resource/202208081015---TYPE%20GST%20TD2%20submission%20ODI%2020220806.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Climate finance"
68e25768c488c8895242008689ddea16,Facilitative sharing of views record - BUR1 El-Salvador,"Transparency framework, Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2021-04-09T12:00:00Z,English,/documents/271439,https://unfccc.int/sites/default/files/resource/FSVR1_SLV.pdf,not validated,,,,,,UNFCCC Information Portal,"Transparency framework,Means of implementation,Mitigation"
f367c1495f3afddc0446294069c65bf1,State of Climate Action 2021 Systems Transformations Required to Limit Global Warming to 1.5°C,"Global stocktake, Mitigation, Climate finance, Means of implementation, Technology, Science and research",Submissions to the Global Stocktake,World Resources Institute (WRI),,2022-08-08T12:00:00Z,English,/documents/574370,https://unfccc.int/sites/default/files/resource/202208051457---State%20of%20Climate%20Action%202021%20Report%20%20-%20Submission%20to%20the%20First%20Global%20Stocktake.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Mitigation,Climate finance,Means of implementation,Technology,Science and research"
3b49cba8e25a744e31767b671dda4447,Pakistan. National communication (NC). NC 2.,"Policies and measures, National communications (NC), Mitigation",National communications (NC),Pakistan,,2019-08-09T12:00:00Z,English,/documents/199292,https://unfccc.int/sites/default/files/resource/183625_Pakistan-NC2-1-Pakistan%20-%20Second%20National%20Communication%20on%20Climate%20Change%202018.pdf,not validated,,Pakistan,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Mitigation"
7233284f9542587a1fa4207af3c12719,Non-Party Stakeholder Submission to the Global Stocktake: Climate Analytics,"Global stocktake, Loss and damage, Climate finance, Science and research",Submissions to the Global Stocktake,Climate Analytics,,2022-04-13T12:00:00Z,English,/documents/461860,https://unfccc.int/sites/default/files/resource/202203180845---Climate%20Analytics%20%20submission.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Loss and damage,Climate finance,Science and research"
dfc91d4ca5cbcb3c1a8058570558e8d9,Norway. Biennial Reports (BR). BR 3. National Communication (NC). NC 7.,"Policies and measures, National communications (NC), Biennial reports (BR), Adaptation, Mitigation","National communications (NC), Biennial reports (BR)",Norway,,2018-01-29T12:00:00Z,English,/documents/198283,https://unfccc.int/sites/default/files/resource/321045_Norway-NC7-BR3-2-Norways_seventh_national_communication_2.pdf,not validated,,Norway,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Adaptation,Mitigation"
3e5402b15290edb4eaeea68dfc807a20,Finland. Biennial Reports (BR). BR 5.,"Emission reduction targets, Policies and measures, Adaptation",Biennial reports (BR),Finland,,2022-12-22T12:00:00Z,English,/documents/624720,https://unfccc.int/sites/default/files/resource/FIN_BR5.pdf,not validated,,Finland,,,,UNFCCC Information Portal,"Emission reduction targets,Policies and measures,Adaptation"
623bd4e8b99c41b145ebc202156c0e70,Global Climate Action Portal (GCAP) Synthesis Report - Information as at 28 February 2022,"Climate Action Data and Analysis, Adaptation, Mitigation, Means of implementation",Global Climate Action Portal (GCAP) Synthesis Report - Information as at 28 February 2022,UNFCCC. Secretariat,,,English,/documents/460995,https://unfccc.int/sites/default/files/resource/GCAP%20Synthesis%20Report_Info%20as%20at%2028%20Feb%202022.pdf,not validated,,,,,,UNFCCC Information Portal,"Climate Action Data and Analysis,Adaptation,Mitigation,Means of implementation"
4ff9230e4b6d8614577a626d0f14fc1a,Costa Rica. Biennial update report (BUR).  BUR 2.,Costa Rica. Biennial update report (BUR).  BUR 2.,Biennial update reports (BUR),Costa Rica,,2019-12-23T12:00:00Z,Spanish,/documents/204842,https://unfccc.int/sites/default/files/resource/IBA-2019.pdf,not validated,,Costa Rica,,,,UNFCCC Information Portal,Mitigation actions and commitments
6b24d5be466b60fa2fa1d071aca595fa,Mozambique. National Communication (NC). NC 1.,"National communications (NC), Mitigation",National communications (NC),Mozambique,,2006-06-02T12:00:00Z,English,/documents/128110,https://unfccc.int/sites/default/files/resource/Mozambique%20INC.pdf,not validated,,Mozambique,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
03575211b48c7eecb9ee1158ae693f78,Current 2030 targets and actions do not put the world on track to limit warming to 1.5°c. New Climate Institute for Climate Policy and Global Sustainability,"Global stocktake, Mitigation",Current 2030 targets and actions do not put the world on track to limit warming to 1.5°c. New Climate Institute for Climate Policy and Global Sustainability,NewClimate Institute for Climate Policy and Global Sustainability,,2022-04-01T12:00:00Z,English,/documents/461594,https://unfccc.int/sites/default/files/resource/202203011609---Climate%20Action%20Tracker_Submission%20to%20the%20GST_2022.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Mitigation"
221a8820b0e5d372229e7d320c14dd95,Facilitative sharing of views record - BUR3 Brazil,"Transparency framework, Mitigation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2021-04-09T12:00:00Z,English,/documents/271447,https://unfccc.int/sites/default/files/resource/FSVR3_BRA.pdf,not validated,,,,,,UNFCCC Information Portal,"Transparency framework,Mitigation,Mitigation"
c69cb0d498425416fc41289f3034eb62,"Draft Technical paper: Priorities and needs: technologies for adaptation in agriculture, water resources and coastal zones; including experiences in stakeholder engagement and regulatory issues pertaining to the development, transfer and uptake of technologies in those sectors (AC20)",Adaptation,Intersessional documents,UNFCCC. Adaptation Committee (AC),,2021-09-02T12:00:00Z,English only,/documents/304422,https://unfccc.int/sites/default/files/resource/ac20_7b_technologies.pdf,not validated,,,,,,UNFCCC Information Portal,Adaptation
30f3f5e091c774100a17fcd9265b0a19,Technical analysis of the first biennial update report of Papua New Guinea submitted on 17 April 2019. Summary report by the team of technical experts,"GHG inventories, Emission reduction targets, Means of implementation",Technical analysis of the first biennial update report of Papua New Guinea submitted on 17 April 2019. Summary report by the team of technical experts,UNFCCC. Secretariat,,2020-04-22T12:00:00Z,English,/documents/226499,https://unfccc.int/sites/default/files/resource/tasr1_2019_PNG.pdf,not validated,,Papua New Guinea,,,,UNFCCC Information Portal,"GHG inventories,Emission reduction targets,Means of implementation"
315d1ac14d20293cf7a68631ec2e8a22,Submission for the first input phase of the global stocktake: Climate Action Network,"Adaptation, Climate finance, Equity, Global stocktake, Loss and damage, Means of implementation, Mitigation",Submissions to the Global Stocktake,Climate Action Network International (CAN),,2022-09-13T12:00:00Z,English,/documents/613837,https://unfccc.int/sites/default/files/resource/202208051022---CAN_GST-Submission_August-2022.pdf,not validated,,,,,,UNFCCC Information Portal,"Adaptation,Climate finance,Equity,Global stocktake,Loss and damage,Means of implementation,Mitigation"
e9f00a4aad0e37f1525ab6b505b0d50f,Technical analysis of the first biennial update report of Albania submitted on 12 October 2021. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Mitigation, Means of implementation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2023-01-13T12:00:00Z,English only,/documents/624810,https://unfccc.int/sites/default/files/resource/tasr2022_ALB.pdf,not validated,,Albania,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Mitigation,Means of implementation"
f0040e4c23c645ab434b38f89dca6a1f,Nepal's Long-term Strategy for Net-zero Emissions,"Ambition and collective progress, Mitigation, Adaptation",Long-term low greenhouse gas emission development strategies (LT-LEDS),Nepal,,2021-10-31T12:00:00Z,English,/documents/307963,https://unfccc.int/sites/default/files/resource/NepalLTLEDS.pdf,not validated,,,,,,UNFCCC Information Portal,"Ambition and collective progress,Mitigation,Adaptation"
3668e1d7e57574674f1d5c8363c10449,Yearbook of Global Climate Action 2020: Marrakech Partnership for Global Climate Action,"Yearbook of Global Climate Action, Global climate action (GCA), Adaptation, Climate finance, Means of implementation, Mitigation, Science and research, Technology",Publications,UNFCCC,,2020-12-11T12:00:00Z,English,/documents/267246,https://unfccc.int/sites/default/files/resource/2020_Yearbook_final_0.pdf,not validated,,,,,,UNFCCC Information Portal,"Yearbook of Global Climate Action,Global climate action GCA,Adaptation,Climate finance,Means of implementation,Mitigation,Science and research,Technology"
3daab8d99e4d47ca829f6c60298602c2,Sweden. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Sweden,,2022-04-12T12:00:00Z,English,/documents/461776,https://unfccc.int/sites/default/files/resource/swe-2022-nir-12apr22_0.zip,not validated,,Sweden,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
4d86b68fba76033f846da8f5de8f9bd0,Uzbekistan. National Communication (NC). NC 3.,"National communications (NC), Mitigation",National communications (NC),Uzbekistan,,,Russian,/documents/89246,https://unfccc.int/sites/default/files/resource/TNC_Uzbekistan_under_UNFCCC_rus.pdf,not validated,,Uzbekistan,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
da69a3a23f5ab4460a596dd5d4edac1b,United States of America. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),United States of America,,2021-04-15T12:00:00Z,English,/documents/272415,https://unfccc.int/sites/default/files/resource/usa-2021-nir-15apr21.zip,not validated,,United States of America,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
20b1824044f85aed372ef5adc3f25577,"Biennial in-session workshop on information to be provided by Parties in accordance with Article 9, paragraph 5, of the Paris Agreement. Summary report by the secretariat",Climate finance,Summary reports,UNFCCC. Conference of the Parties serving as the meeting of the Parties to the Paris Agreement (CMA),,2021-09-10T12:00:00Z,French,/documents/306727,https://unfccc.int/sites/default/files/resource/cma2021_05F.pdf,not validated,,,,,,UNFCCC Information Portal,Climate finance
cc55af16d8d955d328af3776cf93454d,Israel. National Communication (NC). NC 3.,"National communications (NC), Mitigation",Israel. National Communication (NC). NC 3.,Israel,,,English,/documents/181387,https://unfccc.int/sites/default/files/resource/UNFCCC%20National%20Communication%202018.pdf,not validated,,Israel,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
c86193e7c8ab1166840ce6fd3a9a2e91,Lesotho. Biennial update report (BUR). BUR 1.,"Measurement, reporting and verification (MRV), Mitigation",Lesotho. Biennial update report (BUR). BUR 1.,Lesotho,,2021-11-09T12:00:00Z,English,/documents/310442,https://unfccc.int/sites/default/files/resource/NAI_BUR1.pdf,not validated,,Lesotho,,,,UNFCCC Information Portal,"Measurement reporting and verification MRV,Mitigation"
e32cdbd28ca41f43da37e743786c0624,Submission for the first input phase of the global stocktake: International Network for Sustainable Energy,"Global stocktake, Mitigation, Technology",Submissions to the Global Stocktake,International Network for Sustainable Energy (INFORSE),,2022-04-01T12:00:00Z,English,/documents/461586,https://unfccc.int/sites/default/files/resource/202202281907---GST-INFORSE-Submission-2022-1.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Mitigation,Technology"
758acd1f49f76e7e450a18d69818286f,Facilitative sharing of views record 2 - Uruguay,"Biennial update reports (BUR), Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2019-08-08T12:00:00Z,English,/documents/199274,https://unfccc.int/sites/default/files/resource/FSVR2_URY.pdf,not validated,,,,,,UNFCCC Information Portal,"Biennial update reports BUR,Means of implementation,Mitigation"
2784da5b0bdc5d4f248fe8bf7ec0ddd6,Technical analysis of the fourth biennial update report of Brazil submitted on 31 December 2020. Summary report by the team of technical experts,"Biennial update reports (BUR), National communications (NC), International consultations and analysis (ICA), Mitigation, Means of implementation",Technical analysis summary report (TASR),UNFCCC. Secretariat,,2022-06-21T12:00:00Z,English only,/documents/510760,https://unfccc.int/sites/default/files/resource/tasr2021_BRA.pdf,not validated,,Brazil,,,,UNFCCC Information Portal,"Biennial update reports BUR,National communications NC,International consultations and analysis ICA,Mitigation,Means of implementation"
58338d9db9b9c69818479df0d61703f5,Brunei Darussalam. National Communication (NC). NC 2.,"National communications (NC), Mitigation",National communications (NC),Brunei Darussalam,,,English,/documents/39798,https://unfccc.int/sites/default/files/resource/brn-nc2-eng-25nov17.zip,not validated,,Brunei Darussalam,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
b1a7770920825f9a4ea4b6dcccaa58e5,Namibia. Biennial update report (BUR). BUR 4. National inventory report.,"Biennial update reports (BUR), Mitigation",National inventory reports (NIR),Namibia,,2021-02-18T12:00:00Z,English,/documents/268413,https://unfccc.int/sites/default/files/resource/Namibia%20NIR5%20Part%201-Final%20.pdf,not validated,,Namibia,,,,UNFCCC Information Portal,"Biennial update reports BUR,Mitigation"
5409165b302cba40bac9f3b73b379ca8,Tunisia. Biennial update report (BUR). BUR 2.,"Biennial update reports (BUR), Mitigation",Biennial update reports (BUR),Tunisia,,,French,/documents/180725,https://unfccc.int/sites/default/files/resource/BUR2_Tunesia_2016.pdf,not validated,,Tunisia,,,,UNFCCC Information Portal,"Biennial update reports BUR,Mitigation"
