md5sum,document_name,theme,type,author,author_type,date,language,link,pdf_link,validation_status,data_error_type,party,translation,version,status,source,topics
b6d061ccaf4f6797e9328c2ff721080f,Tunisia. National Communication (NC). NC 3.,"National communications (NC), Mitigation",National communications (NC),Tunisia,,2019-06-17T12:00:00Z,French,/documents/196836,https://unfccc.int/sites/default/files/resource/Synthese%20TCN%20FR%20VF%20Tunisia.pdf,not validated,,Tunisia,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
2502973af77e441b7377ae66139b6218,Portugal. Biennial Reports (BR). BR 3. National Communication (NC). NC 7.,"Policies and measures, National communications (NC), Biennial reports (BR), Adaptation, Mitigation","National communications (NC), Biennial reports (BR)",Portugal,,2017-12-29T12:00:00Z,English,/documents/198285,https://unfccc.int/sites/default/files/resource/28410365_Portugal-NC7-1-PT7CN3BRfinal.pdf,not validated,,Portugal,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Adaptation,Mitigation"
0ac0bcc114efdec0e5b941c8a0867ee4,Finland. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Finland,,2021-04-14T12:00:00Z,English,/documents/271571,https://unfccc.int/sites/default/files/resource/fin-2021-nir-14apr21.zip,not validated,,Finland,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
3170ffa2ada3b2463a3800984eb598d8,Turkey. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Türkiye,,2022-04-14T12:00:00Z,English,/documents/461926,https://unfccc.int/sites/default/files/resource/tur-2022-nir-14apr22.zip,not validated,,Türkiye,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
1d11a6ab3644f05b6e5f99445cd68064,Panama. Biennial update report (BUR). BUR 2. National inventory report.,"Biennial update reports (BUR), Mitigation",National inventory reports (NIR),Panama,,2021-06-17T12:00:00Z,Spanish,/documents/279123,https://unfccc.int/sites/default/files/resource/2020_IIN_PA.pdf,not validated,,Panama,,,,UNFCCC Information Portal,"Biennial update reports BUR,Mitigation"
113bd3a885c37c4548889242729b754c,Facilitative sharing of views record 2 - Thailand,"Biennial update reports (BUR), Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2019-08-08T12:00:00Z,English,/documents/199270,https://unfccc.int/sites/default/files/resource/FSVR2_THA.pdf,not validated,,,,,,UNFCCC Information Portal,"Biennial update reports BUR,Means of implementation,Mitigation"
5fd877971882b6a5d46b5e001fbcc31d,Togo. Biennial update report (BUR). BUR 1. National inventory report.,"Biennial update reports (BUR), Mitigation",National inventory reports (NIR),Togo,,,French,/documents/180722,https://unfccc.int/sites/default/files/resource/Togo-BUR1-ANNEXES.pdf,not validated,,Togo,,,,UNFCCC Information Portal,"Biennial update reports BUR,Mitigation"
41d661fc9be5587fe8c2e110e724b3ac,"The University of Exeter, Global Carbon Budget 2021: Submission to GST","Global stocktake, Mitigation, Science and research",Submissions to the Global Stocktake,University of Exeter,,2022-04-13T12:00:00Z,English,/documents/461855,https://unfccc.int/sites/default/files/resource/Copy%20of%20202202251311---Global_Carbon_Budget_2021_GST.xlsx,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Mitigation,Science and research"
69103a2a9be8c224d636ac41e4587d92,Sweden’s long-term strategy for reducing greenhouse gas emissions,"Ambition and collective progress, Mitigation, Adaptation",Long-term low greenhouse gas emission development strategies (LT-LEDS),Sweden,,2020-12-11T12:00:00Z,English,/documents/267243,https://unfccc.int/sites/default/files/resource/LTS1_Sweden.pdf,not validated,,Sweden,,,,UNFCCC Information Portal,"Ambition and collective progress,Mitigation,Adaptation"
942a2d24db5637074b9d04299e74fd96,Suriname. Biennial update report (BUR).  BUR 1.,Mitigation actions and commitments,Biennial update reports (BUR),Suriname,,2022-11-05T12:00:00Z,English,/documents/622910,https://unfccc.int/sites/default/files/resource/REDD%20TA%20Suriname%202000-2001%20%28FREL%202%29%20%281%29.pdf,not validated,,Suriname,,,,UNFCCC Information Portal,Mitigation actions and commitments
0492616fb12e900e64d0989eb538e292,Hungary. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Hungary,,2022-05-27T12:00:00Z,English,/documents/461959,https://unfccc.int/sites/default/files/resource/hun-2022-nir-27may22.zip,not validated,,Hungary,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
17dfce59b8548e63950404e02dccf0df,Long-term low greenhouse gas emission development strategy of the European Union and its Member States,"Ambition and collective progress, Mitigation",Long-term low greenhouse gas emission development strategies (LT-LEDS),Long-term low greenhouse gas emission development strategy of the European Union and its Member States,,2020-03-06T12:00:00Z,English,/documents/210328,https://unfccc.int/sites/default/files/resource/HR-03-06-2020%20EU%20Submission%20on%20Long%20term%20strategy.pdf,not validated,,European Union,,,,UNFCCC Information Portal,"Ambition and collective progress,Mitigation"
4b4280b02a9e12fa177b40260ad16781,Chile. Biennial update report (BUR). BUR4.,"Measurement, reporting and verification (MRV), Mitigation",Biennial update reports (BUR),Chile,,2021-01-18T12:00:00Z,Spanish,/documents/267936,https://unfccc.int/sites/default/files/resource/Chile_4th%20BUR_2020.pdf,not validated,,Chile,,,,UNFCCC Information Portal,"Measurement reporting and verification MRV,Mitigation"
4f1024eaa9020e10d6c2286877cdbdf0,Latvia. 2022 National Inventory Report (NIR),"GHG inventories, Mitigation",Latvia. 2022 National Inventory Report (NIR),Latvia,,2022-04-14T12:00:00Z,English,/documents/461908,https://unfccc.int/sites/default/files/resource/lva-2022-nir-14apr22_0.zip,not validated,,Latvia,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
68b907143cf3c6322d7b56cbb67d6de6,South Africa. National Communication (NC). NC 3.,"National communications (NC), Mitigation",National communications (NC),South Africa,,2018-08-31T12:00:00Z,English,/documents/181851,https://unfccc.int/sites/default/files/resource/South%20Africa-NC3-2-Appendices%20ACD%20of%20the%20TNC%20of%20South%20Africa.pdf,not validated,,South Africa,,,,UNFCCC Information Portal,"National communications NC,Mitigation"
ccb0efde0071c181002a0963a2ae0e23,"The University of Cambridge on behalf of the PARIS REINFORCE project input to the first global stocktake: SYR (g) Good practices, experience and potential opportunities to enhance international cooperation on mitigation and adaptation and to increase support under Article 13, para 5, of the Paris Agreement","Global stocktake, Adaptation, Capacity-building, Climate finance, Equity, Loss and damage, Means of implementation, Response measures, Mitigation, Science and research, Technology",Submissions to the Global Stocktake,"Paris Reinforce, University of Cambridge",,2022-05-17T12:00:00Z,English,/documents/476924,https://unfccc.int/sites/default/files/resource/202205131738---PARIS%20REINFORCE%20GST%20Submission%20Enhancing%20Cooperation%20and%20Support.pdf,not validated,,,,,,UNFCCC Information Portal,"Global stocktake,Adaptation,Capacitybuilding,Climate finance,Equity,Loss and damage,Means of implementation,Response measures,Mitigation,Science and research,Technology"
deb38725520b168e63962081458ce410,Australia. 2021 National Inventory Report (NIR),"GHG inventories, Mitigation",National inventory reports (NIR),Australia,,2021-04-15T12:00:00Z,English,/documents/273478,https://unfccc.int/sites/default/files/resource/aus-2021-nir-15apr21.zip,not validated,,Australia,,,,UNFCCC Information Portal,"GHG inventories,Mitigation"
56755a2a9bc2a32601c669bb1df62b4f,FSV1 record - Benin,"Transparency framework, Means of implementation, Mitigation",Facilitative sharing of views reports (FSVR),UNFCCC Authors,,2021-08-25T12:00:00Z,English,/documents/302747,https://unfccc.int/sites/default/files/resource/FSVR1_BEN.pdf,not validated,,,,,,UNFCCC Information Portal,"Transparency framework,Means of implementation,Mitigation"
00254c407297fbb50a77d748b817ee5c,Nationally determined contributions under the Paris Agreement. Revised note by the secretariat,Nationally determined contributions (NDCs),Pre-session documents,UNFCCC. Secretariat,,2021-10-25T12:00:00Z,Spanish,/documents/307628,https://unfccc.int/sites/default/files/resource/cma2021_08r01_S.pdf,not validated,,,,,,UNFCCC Information Portal,Nationally determined contributions NDCs
0b659d9b0cd6bd9e34ac98146c97a708,Sweden. Biennial Reports (BR). BR 3. National Communication (NC). NC 7.,"Policies and measures, National communications (NC), Biennial reports (BR), Adaptation, Mitigation","National communications (NC), Biennial reports (BR)",Sweden,,2017-12-22T12:00:00Z,English,/documents/198291,https://unfccc.int/sites/default/files/resource/Sweden-BR3-1-SWE_add_table_NC7andBR3_20171222_web.pdf,not validated,,Sweden,,,,UNFCCC Information Portal,"Policies and measures,National communications NC,Biennial reports BR,Adaptation,Mitigation"
