document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1863.0,416a7da0c56ecba3aaccccf85a5898a6__d42befdc2a5f024488e35c68614734636c53fcf036a88f461f2c57faf298073b,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,592,606,"Parties should also acknowledge the fact that natural gas is also a fossil fuel that we need to transition away from, and exclude all false solutions and related technologies such as Carbon Capture Storage, nuclear energy or solar radiation management, that prolong dependence on fossil fuels and come with high human rights risks.",1.0,explorer,
UNFCCC.non-party.1857.0,a32e6177a6f9d21764784de9c745e802__379d99e8e3d354c4a62c3631149348aacb7931cd6b04e8b5c33228f290085c1c,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,281,284,"For emissions reductions in the energy sector to be effective, we cannot rely on false solutions which have been proven to be unviable at scale, such as CCS, an over-reliance on off-setting, or so-called ""efficient"" fossil fuels, as these options would continue to worsen global warming and would continue to harm people, due to the impacts not only of fossil fuel combustion but also of extraction and processing.",1.0,explorer,
UNFCCC.non-party.1861.0,6056f2c1a431d5c51d7298a1175f4b20__935182559209760be3ff2778b16d4885a2bd865eb0b9a50e869a48fcbae429e1,TRANSPORT_TECHNOLOGIES,ELECTRIC_VEHICLES,electric vehicle,60,76,- Reduce demand for land-based transportation and implement electric vehicle technologies.,1.0,explorer,
UNFCCC.party.1850.0,4887195cbeb4a18849fa8a1fb261d068__c4fc77ed2a9ebb4c055a69464e25ae2d48756a9b53824cffbf7ca2ff758e06f8,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon storage,403,417,"The GPI results should reflect the principle of technological neutrality, in which, in addition to renewable energy sources, the possibility of using all available technologies is recognized, including natural gas as a transition fuel, low-emission solutions in the use of fossil fuels, nuclear, hydrogen and hydropower, capture and carbon storage.",1.0,explorer,
UNFCCC.party.1850.0,749643e1b8505588dd05e8f0da3ad9e3__8ccddbc9c77f2114b66d49d7b77b9dc46de3d2a87c72060a71f20d221b354b2b,CLEAN_TECHNOLOGIES_(GENERAL),CLEAN_TECHNOLOGIES,sustainable technologies,235,259,Investment in low-emission and sustainable technologies is essential to achieving global climate goals.,1.0,explorer,
UNFCCC.non-party.1865.0,1a037eca202ce54c66279e8f965fb3f0__09df7d01836b1abf7f2c78db67bac17859b93950923e206f299acd0914ecf494,CLEAN_TECHNOLOGIES_(GENERAL),LOW-CARBON_TECHNOLOGIES,low carbon technologies,230,253,"This includes companies' level of investments in low carbon technologies, how they respect their carbon budget, how they develop a low carbon business model and how they engage with suppliers and customers on these issues.",1.0,explorer,
UNFCCC.non-party.1869.0,bda68c921b7a1ad1afed8b044a55bea3__4a80214e2ea835d5b043a4badb10330d34708df633a8da3dcbaeeb16f2205eb3,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,589,611,"Key priorities include: (i) prioritizing deep emission cuts to near zero CO2 emissions by 2050, implying deep transformations towards a clean energy system, (ii) in the land sector, prioritizing this decade halting deforestation of intact forests, and natural reforestation and ecosystem regeneration, (iii) not over-depending on land-based Carbon Dioxide Removal to reach net-zero goals",1.0,explorer,
UNFCCC.non-party.1869.0,d0e28aeeeb29741aa796718f3725f27d__e548101137143f5843d3c7c06a217448ead6b122a072223a6f4ba7de6dfc5308,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,442,445,"This implies (i) scaling up renewables - the mitigation option with the highest potential for net emission reductions by 2030 is scaling up solar energy (4.3 Gt CO2/yr) and wind energy (3.9 Gt CO2/yr), while the role for CCS is much lesser (less than 1 Gt CO2/yr), (ii) and significantly phasing down fossil fuels - IEA Net Zero Pathway identifies there is no room for additional fossil fuel expansion, and calls for a phase-out of unabated coal and oil power plants by 2040 (IEA NZE).",1.0,explorer,
UNFCCC.non-party.1869.0,b0c590570e88cbcaeb84460dbfbab6f0__12c202e60e0af34fa2a0eda341d46b68fa6045500ca47af4465786dab1de1f48,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,172,194,"3. Natural restoration of ecosystems and reforestation and other ecosystem approaches - deployed with an emphasis on minimizing land-use change - provide real, yet limited Carbon Dioxide Removal opportunities, and can hence not offset fossil fuel emissions.",1.0,explorer,
UNFCCC.non-party.1869.0,5658ca4653dbff052b15f472398541b3__9dd91314ea5c5fbe822f75978cff2ac4e11a164ba1af3a6103e57c9213d5237f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Capture,99,113,"4. Sustainable potential of land-based Carbon Dioxide Removal from afforestation or Bioenergy with Carbon Capture and Storage (BECCS) is limited, and large-scale",1.0,explorer,
UNFCCC.non-party.1869.0,5658ca4653dbff052b15f472398541b3__9dd91314ea5c5fbe822f75978cff2ac4e11a164ba1af3a6103e57c9213d5237f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,127,132,"4. Sustainable potential of land-based Carbon Dioxide Removal from afforestation or Bioenergy with Carbon Capture and Storage (BECCS) is limited, and large-scale",1.0,explorer,
UNFCCC.non-party.1869.0,5658ca4653dbff052b15f472398541b3__9dd91314ea5c5fbe822f75978cff2ac4e11a164ba1af3a6103e57c9213d5237f,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,39,61,"4. Sustainable potential of land-based Carbon Dioxide Removal from afforestation or Bioenergy with Carbon Capture and Storage (BECCS) is limited, and large-scale",1.0,explorer,
UNFCCC.non-party.1869.0,1911f2c7aa1706074fbbe7bfec5f973f__5e036a45a0cb56f3dfe900eb53770a4784647847f7a004466cad90bec23e0e0d,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,BECCS,277,282,"For example, the IPCC-IPBES Co-Sponsored Workshop Report finds that the maximum sustainable deployment of bioenergy and BECCS is 1-2.5 Gt CO2/yr.",1.0,explorer,
UNFCCC.non-party.1869.0,c2077439752c93c8fd70c837ad28fc8a__8d2f8e3cb554051c29b76f035a0077483f9981acb66bcf093402a4d0be8d8dbf,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,105,127,"5. Countries are banking in their current NDCs and LT-LEDS on arguably unrealistic amounts of land-based Carbon Dioxide Removal, instead of on deeper decarbonization.",1.0,explorer,
UNFCCC.non-party.1869.0,c2077439752c93c8fd70c837ad28fc8a__8d2f8e3cb554051c29b76f035a0077483f9981acb66bcf093402a4d0be8d8dbf,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,279,294,The Land Gap Report found that by 2030 countries are collectively planning to deploy 451 million ha of land for carbon removals by 2030 - equivalent to about 1/2 of global agricultural land area - and by 2060 1.2 billion hectares (see Annex 2).,1.0,explorer,
UNFCCC.non-party.1869.0,4293377435024f4020791baddcf33fb4__c324c95a095e19cc1a59461908f06049c20e0d3f602650a6f8d18873d6027861,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon removals,26,41,Carbon removals from nature restoration are no substitute for steep emission reductions.,1.0,explorer,
UNFCCC.non-party.1869.0,e7089262c51a0f2ab8d12ff1a6237bd2__6607e48ca8d41a91289efe06605775ee245bc1904d736dee7b71ac174c5811bd,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon storage,69,83,Constraints and enablers for increasing carbon storage in the terrestrial biosphere.,1.0,explorer,
UNFCCC.non-party.1869.0,5da8945fa14aa55178da9c6b3f9eed35__317e34e5637c2a8fff05083d42ba27a2f3fcdfb47d1516d5c9d01647890e89e6,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon capture,0,14,Carbon capture and storage (CCS),1.0,explorer,
UNFCCC.non-party.1869.0,5da8945fa14aa55178da9c6b3f9eed35__317e34e5637c2a8fff05083d42ba27a2f3fcdfb47d1516d5c9d01647890e89e6,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,28,31,Carbon capture and storage (CCS),1.0,explorer,
UNFCCC.non-party.1869.0,9e01204f00107a3a6f2e8e70c7f12529__d82c1a83811d4bdd5b51773a3f9c2ae55987debd0cf7385616a9ca6689f6fd03,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,20,23,Bioelectricity with CCS,1.0,explorer,
UNFCCC.non-party.1869.0,31a8805cc2178d22f9a60742f380e695__e947f43d03503ce550ffbd2c257633c72e0934ca2acd2a1f3a8ac9d1e88a8ddc,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon sequestration,0,20,Carbon sequestration in agriculture,1.0,explorer,
UNFCCC.non-party.1869.0,34326e1e4bdbac81ad015c866dad0dcc__bed22a4818af5448bdeadf2714728a6fe7bc74993a399cadff26b49a216a5e86,WASTE_AND_RECYCLING_TECHNOLOGIES,RECYCLING,recycling,9,18,Enhanced recycling,1.0,explorer,
UNFCCC.non-party.1869.0,197a9c29516c81fc32c7680b944d9b14__7b20d6c3a3897253ff64570d2c0a8f48fc38eadbec288114796e7c6b06064223,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon capture,0,14,Carbon capture with utilisation (CCU) and CCS,1.0,explorer,
UNFCCC.non-party.1869.0,197a9c29516c81fc32c7680b944d9b14__7b20d6c3a3897253ff64570d2c0a8f48fc38eadbec288114796e7c6b06064223,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCU,33,36,Carbon capture with utilisation (CCU) and CCS,1.0,explorer,
UNFCCC.non-party.1869.0,197a9c29516c81fc32c7680b944d9b14__7b20d6c3a3897253ff64570d2c0a8f48fc38eadbec288114796e7c6b06064223,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,CCS,42,45,Carbon capture with utilisation (CCU) and CCS,1.0,explorer,
UNFCCC.non-party.1869.0,312ea54c3f22469d2a19cc54f028d379__9e9b92d838e08cfebe82f6b63c35c46c3774365096ab37f61fc68beab7be2b9a,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon Dioxide Removal,9,31,Annex 2: Carbon Dioxide Removal in national climate pledges,1.0,explorer,
UNFCCC.non-party.1869.0,8f8e9397b7f2f6d6ba87ce59948a2336__fbdf46f425ec1c9bd12df6e3cfe13028dd5123a5ddfc1f92c494982bcfcb36b0,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,Carbon dioxide removal,0,22,Carbon dioxide removal in national climate pledges,1.0,explorer,
UNFCCC.non-party.1869.0,60cbd14ec8347f04ff01bd64cf92aba5__5dec2f99f4149de6f161de7219fa64a834f6e27a44d63d541a66e5d5185d7e6b,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon removals,62,77,"Countries' climate pledges rely on 451 million ha of land for carbon removals by 2030, another 533 million hectares by 2050, and another 200 million ha is pledged from one country for 2060.",1.0,explorer,
UNFCCC.non-party.1870.0,fd0383c333c3ed719155955ddbe20944__8a6ebf844cbca78e9442110989b9062083e9f3ebdf35064ede00c0c4441c318a,CARBON_CAPTURE_AND_STORAGE,CO2_TRANSPORT,transport CO2,56,69,IEA's net-zero emission scenario outlines a 90% drop of transport CO2 emissions from 2020 levels by 2050.,1.0,explorer,
