document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator,kb_ids
UNFCCC.non-party.1881.0,ee5a30ab7254ca1aa94a9b42fe6bd710__7264bdf2f3f31fcd5cc2c8e15a994c22eff214c8521d092a41a37d853cb9ed19,WASTE_AND_RECYCLING_TECHNOLOGIES,RECYCLING,recycle,7,14,Please recycle,1.0,explorer,
UNFCCC.non-party.1881.0,a44bd3b105171bbbc9269bd556e33717__a5c8d04dab848acd3f269d1c6613ac6e7f33625bb8f36be80d31ed66f076b62a,CARBON_CAPTURE_AND_STORAGE,CARBON_CAPTURE_AND_STORAGE,carbon capture,141,155,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",1.0,explorer,
UNFCCC.non-party.1881.0,a44bd3b105171bbbc9269bd556e33717__a5c8d04dab848acd3f269d1c6613ac6e7f33625bb8f36be80d31ed66f076b62a,CLEAN_TECHNOLOGIES_(GENERAL),LOW-CARBON_TECHNOLOGIES,low-emission technologies,27,52,"(e) Accelerating zero- and low-emission technologies, including, inter alia, renewables, nuclear, abatement and removal technologies such as carbon capture and utilization and storage, particularly in hard-to-abate sectors, and low-carbon hydrogen production;",1.0,explorer,
UNFCCC.non-party.1881.0,3a3f3e0c890f0e596ef9e6f05fc1b288__14cc212d1bce37463b260946b15de6a226e0d8daf2cda054fe2d1ea3bcd65d19,CLEAN_TECHNOLOGIES_(GENERAL),LOW-CARBON_TECHNOLOGIES,low-emission technologies,134,159,"Welcomes that over the past decade mitigation technologies have become increasingly available, and that the unit costs of several low-emission technologies have fallen continuously, notably wind power and solar power and storage, thanks to technological",1.0,explorer,
UNFCCC.non-party.1881.0,4450b7cdf431da671734ca7ced0b89f4__25ae4a4596916ee587ebe1d3cfa075f3b9f1ccea13a81eb35c10a8562f6549ba,CLEAN_TECHNOLOGIES_(GENERAL),CLEAN_TECHNOLOGIES,clean technologies,143,161,"Recognizes that achieving the long-term goals of the Paris Agreement requires the rapid and scaled-up deployment and adoption of existing clean technologies and accelerated innovation, digital transformation and development, demonstration and dissemination of new and emerging technologies, as well as increased access to those technologies, supported by appropriate enabling frameworks and international cooperation;",1.0,explorer,
