document_id,text_block_text_hash,type,id,text,start_idx,end_idx,sentence,pred_probability,annotator
UNFCCC.party.1735.0,dbdd99a8012f46ed283e4621e8c4bac5__0548d29eec962a1bc65d6a5acc102619e3bc28a73d47f65625752203a4ac7070,INTERNATIONAL_COOPERATION,,international cooperation,112,137,The General Directorate of Combating Desertification and Erosion (ÇEM) in Türkiye has been actively involved in international cooperation efforts to combat desertification and land degradation.,1.0,explorer
UNFCCC.party.1735.0,c34aebe8757e671fab8662bd9ce90fc0__32370405678f660b0cfa6fb87fcab8018d50a0a83dd7d5559e0cf7c5be9913e6,INTERNATIONAL_COOPERATION,,International Cooperation,6,31,"8.2.2
International Cooperation by the General Directorate of Combating Desertification and
Erosion",1.0,explorer
UNFCCC.party.1735.0,e0ee3e95cfbb220d0007800f5f217ed3__8b47876cc053bd2b62cf5885a1076aa8777f3cfda2976bf883bf8fd4801f1454,INTERNATIONAL_COOPERATION,,International Cooperation,245,270,"This project is a collaboration between the General Directorate of Energy Affairs, Japan International Cooperation Agency (JICA), and Turkish Cooperation and Coordination Agency (TIKA).",1.0,explorer
UNFCCC.party.1735.0,f1591cd69b15f2026120be60efdad2ef__de88f4519c430f45f170df3a30d222943903cee86508f11e044d94846181528f,INTERNATIONAL_COOPERATION,,INTERNATIONAL COOPERATION,4,29,9.7 INTERNATIONAL COOPERATION,1.0,explorer
UNFCCC.party.1735.0,ad61181210f7e70788c2bd2c298a672a__4abd03199a642e1da83ecb960d1500d43df2e56132e0b86ea037f6b8a797ec58,INTERNATIONAL_COOPERATION,,international cooperation,8,33,area of international cooperation for Türkiye is in the Intergovernmental Panel on Climate Change (IPCC).,1.0,explorer
UNFCCC.party.1735.0,bef230baff21e862c46b9a1d81a94336__562795261f1624835176f703bc47f409f8c88241e6e3e5ecc7931e465fa20a15,INTERNATIONAL_COOPERATION,,international cooperation,38,63,Another important aspect of Türkiye's international cooperation is its participation in United Nations Framework Convention on Climate Change (UNFCCC) meetings and sessions.,1.0,explorer
UNFCCC.party.1735.0,84f07b519284ce4c07c75ac2eb41b82b__e0a111e05a7f54517ad755e28c0d70cb0162277e1f42f3c37659d8c263eeb44f,INTERNATIONAL_COOPERATION,,international cooperation,89,114,"Hosting international events can lead to significant opportunities and contributions for
international cooperation for the host country.",1.0,explorer
UNFCCC.party.1735.0,574e7afb2c0f8ea0d5828e08eeeb9e4a__f8fdbcd458fa2c7c73e2c1f76c883e0577b2dace7afed2afb5486595f9caa24f,INTERNATIONAL_COOPERATION,,international cooperation,686,711,"Efforts are necessary to limit emissions of greenhouse gases, the main cause of anthropogenic climate change, and to pursue multilateral international cooperation as nations seek to reduce impacts from and adapt to climate change.",1.0,explorer
UNFCCC.party.1731.0,20ab524db1c4ba7845cc3de16224b7ae__184fdc3d9425eefde82ee93d99bb4d1526d72e9b6c711568887779bda752f83e,INTERNATIONAL_COOPERATION,,international cooperation,47,72,"Given the nation's long-standing commitment to international cooperation and multilateral processes, the UAE will host the 28th Conference of the Parties to the UN Framework Convention on Climate Change (COP28) in November 2023.",1.0,explorer
UNFCCC.party.1731.0,e42a98a3d5a6f814628f5b415867cee6__dccf7d76add4e22ff8de77411d32e939934824800e8a0302fdb80393f1425e30,INTERNATIONAL_COOPERATION,,International Cooperation,53,78,"2 United Arab Emirates Ministry of Foreign Affairs & International Cooperation
3 Green Growth Opportunities in the GCC.",1.0,explorer
UNFCCC.party.1731.0,5a1d4bd783702d11e79db8cbe60a72d1__f53ccc77d1e03a93e5393f0986ceee05b444d25750087f1400ab52764e9f16e1,INTERNATIONAL_COOPERATION,,International Cooperation,786,811,"As part of such a mobilisation, the establishment of the Emirates Research and Development Council in 2021, chaired by H. H. Sheikh Abdullah bin Zayed Al Nahyan, Minister of Foreign Affairs and International Cooperation, aimed to foster a national environment favourable to research and innovation.",1.0,explorer
UNFCCC.party.1731.0,085532cc5e13a642268910704c75dfaa__15b05d90b27e8b6b9dce083275ba6046368873fb6a25cec959cf4970ed5b0d03,INTERNATIONAL_COOPERATION,,international cooperation,505,530,"The ACE is an invitation for countries to develop educational and public awareness programmes, train scientific, technical, and managerial employees, facilitate public access to information, and encourage public involvement and international cooperation in tackling climate change and its effects.",1.0,explorer
UNFCCC.party.1731.0,8efa4db08d4dd28d64d3e132e09ad7f0__abdd37cd5ba568495e66034a3d06ad66fe6497b78b30d102c0abb8aff9f2540d,INTERNATIONAL_COOPERATION,,International Cooperation,81,106,"Speech delivered by Sheikha Lubna bint Khalid Al Qasimi, at the time Minister of
International Cooperation and Development, during her participation to the Sustainable
Development Goals 2015 Summit.",1.0,explorer
UNFCCC.non-party.1738.0,c0c59c82c4729daf29bc6060c6659dbf__64c7e8dd66bbef099a326c1a054a5b6572f22112b5b8569e534c9ed0c318310d,INTERNATIONAL_COOPERATION,,international cooperation,75,100,"Good practices, experience and potential opportunities to enhance relevant international cooperation (19/CMA.1 paragraph 36(f)).",1.0,explorer
UNFCCC.non-party.1738.0,11413cdebd85038d90401bf99909627d__36611b4a714b24a11044a1dfdaf46b71269cffa6c5e941accd35d96ee56ee062,INTERNATIONAL_COOPERATION,,international cooperation,647,672,"Responding to decision 19/CMA.1 paragraphs 24 and 36, the FWG offers insights about collective progress related to the overall effect of nationally determined contributions (36(b)), the state of adaptation efforts (36(c)), efforts to avert, minimize and address the adverse impacts of climate change (36(e)), barriers and challenges to means of implementation (36(f)), and good practices, experience, and potential opportunities to enhance relevant international cooperation (36(g)).",1.0,explorer
UNFCCC.non-party.1738.0,9fa5854835b39793afcb16cd54e544c3__fd455d13c08d823c0f84d33fa00a93cebae226e5f1d91ece540458b00686ef6d,INTERNATIONAL_COOPERATION,,international cooperation,75,100,"Good practices, experience and potential opportunities to enhance relevant international cooperation (19/CMA.1 paragraph 36(g))",1.0,explorer
